	amici	matlab
Ribosome	1897.3210277092564	1897.39233854056
p53inac	295.9052849194277	296.638572115991
p53ac	6.267937345779594	6.24552786426051
MDM2	204.90252356533816	205.638514675337
Wip1	2.2305093410310537	2.23073593274279
ATMP	0.0	0.0
ATRac	0.0	0.0
MDM2product1	6.26793734577959	6.24552786426043
MDM2product2	6.267937345779575	6.24552786426028
MDM2product3	6.267937345779574	6.24552786426028
MDM2product4	6.267937345779612	6.24552786425945
MDM2product5	6.267937345779613	6.24552786425941
MDM2product6	6.267937345779618	6.24552786425934
MDM2product7	6.26793734577962	6.24552786425933
MDM2product8	6.2679373457799175	6.24552786425913
MDM2product9	6.26793734577887	6.24552786425888
MDM2pro	6.267937345779368	6.24552786425855
Wip1product1	6.267937345779684	6.24552786426031
Wip1product2	6.267937345779497	6.24552786426001
Wip1product3	6.267937345779663	6.24552786425961
Wip1product4	6.267937345783211	6.24552786425936
Wip1product5	6.267937345769659	6.24552786425903
Wip1product6	6.267937345784972	6.24552786425833
Wip1product7	6.267937345694457	6.24552786425807
Wip1product8	6.267937345525185	6.2455278642579
Wip1product9	6.267937347491991	6.24552786425763
Wip1pro	6.267937348827361	6.24552786425752
BRCA2	0.818856867881744	0.821808355193509
MSH6	45.34087847689471	45.5043197151335
MGMT	119.82499807144073	120.256943633779
damageDSB	0.00024482568772158275	0.000243163514392584
damageSSB	6.0689653339508396e-06	6.02775955519681e-06
ppAKT_MDM2	0.0	0.0
pMDM2	0.0	0.0
ARF	0.0	0.0
MDM4	0.027118330215146633	0.0272160891044199
p53ac_MDM4	0.0	0.0
ATMinac	1.4983801699788941	1.50378104607097
ATRinac	2.3917374355089245	2.40035709371721
pRB	7983.139848126578	7996.75853337902
pRBp	0.5355192128537283	0.535597195599288
pRBpp	0.006971521926285623	0.00697086187292693
E2F	1117.2098809656513	1119.21611833452
Cd	0.23332091594119939	0.233335949131732
Mdi	0.5891381839601338	0.589174880430153
Md	3.8538774691534434	3.85419153744174
Mdp27	0.7875589035350729	0.787877269050528
Ce	0.2553397538447451	0.255285112604275
Mei	0.8895689500996299	0.889405536885955
Me	2.7466551889032744	2.74601577132279
Skp2	11.408962945842712	11.4089252231294
Mep27	1.12258511915624	1.12268598260433
Pe	141.28814024711582	141.286479532599
Pai	49.1750187919985	49.1878125639173
Pei	16.022566009167985	16.023426900367
Pbi	55.29821484375701	55.2985041934963
Ca	4.029101222406277	4.0293701314644
Mai	14.036840289430176	14.0382024965262
Ma	5.23535075415643	5.23080843839255
Map27	1.2838436457760571	1.28314382738804
p27	20.435494118293093	20.4420891228807
Cdh1i	0.5985875824305521	0.597850443699396
Cdh1a	108.80288631530647	108.804299112601
E2Fp	11.605075648884132	11.6014252393929
p27p	4.204625947027273	4.20461253052086
Pa	41.6496897856339	41.6243748721654
Cb	3.4436695848316887	3.44350030028586
Mbi	3.9011240986458118	3.9009475069833
Mb	0.6842718373532533	0.68424436805488
Cdc20i	71.16747305742582	71.1678159682762
Cdc20a	0.7301461993309983	0.730115288826558
Pb	9.403016385542289	9.4029916130074
Wee1	26.518892875402557	26.5190633077019
Wee1p	16.740415080562812	16.740468346149
Mbp27	0.08390060752886912	0.0839243061216422
Chk1	0.14977204391173632	0.149754935738145
pRBc1	8918.842719457642	8950.1010449869
pRBc2	0.29914380471971846	0.299724507124764
p21	20.88877001179776	20.8711311616253
Mdp21	0.4830166970219262	0.482648022600135
Mep21	0.22949701847052914	0.229249821340678
Map21	0.2624641426784501	0.262014933597665
Mbp21	0.017152312205595547	0.0171371447427321
L	0.0	0.0
R	8.051309584929552	8.03123491847972
L_R	0.0	0.0
Ractive	0.0	0.0
flip	0.5273847400961693	0.525928037592336
Ractive_flip	0.0	0.0
pC8	26.567749890055097	26.5466050897585
Ractive_pC8	0.0	0.0
C8	0.000355693651184045	0.000367420846798887
Bar	0.8438746818149818	0.841521838922148
C8_Bar	0.0009227704078946799	0.000950536520167357
pC3	81.04488390360464	80.8006651884329
C8_pC3	0.0045523546776038435	0.00468827544467664
C3	0.0001326880530969062	0.000137152634481069
pC6	47.30488496372471	47.6957478068518
C3_pC6	0.0	0.0
C6	0.0003726171647461582	0.00038833780989217
C6_C8	0.0	0.0
XIAP	5.494556198410902	5.47782387685905
C3_XIAP	4.56375593682192e-05	4.70294812677566e-05
PARP	641.7512857112404	640.146993407944
C3_PARP	2.6659271963855907e-06	2.74873947907468e-06
cPARP	1.0644397320080723	1.09754762678978
Bid	50.6028760261893	50.4768622394661
C8_Bid	5.160761643088687e-05	5.31763668113301e-05
tBid	1.1238550022866791e-06	1.16103588251057e-06
Bcl2c	12.53492301831375	12.5002026707433
tBid_Bcl2c	3.9703214516857615e-05	4.09031213104624e-05
Bax	88.4578885821469	88.2603256092099
tBid_Bax	0.0	0.0
Baxactive	5.6168143717208796e-05	5.75341676895809e-05
Baxm	0.0007536630762290453	0.000772069629938396
Bcl2	1.7885172206547049	1.78356310834628
Baxm_Bcl2	0.0037989545028834846	0.00388095586798926
Bax2	1.7959730180805707e-05	1.88476991903831e-05
Bax2_Bcl2	9.052877452049479e-05	9.47415696915804e-05
Bax4	0.0	0.0
Bax4_Bcl2	0.0	0.0
M	2259.9982797378348	2259.99920693715
Bax4_M	0.0	0.0
Mactive	7.2809874080553395e-06	8.01878303155962e-06
CytoCm	15551.568157093096	15543.3526823817
Mactive_CytoCm	0.0006509894419532908	0.000716576631488682
CytoCr	0.006508172340654275	0.00716387102762888
Smacm	1477.4531332070937	1474.6244697703
Mactive_Smacm	6.184626405408782e-05	6.79828513739208e-05
Smacr	0.0004936558593552753	0.000542887777456068
CytoC	0.00045551168158678107	0.00050140451647576
Apaf	0.5205287084532598	0.520014646795506
CytoC_Apaf	0.0	0.0
Apafactive	0.0010472072300122342	0.00114551423315928
pC9	4.496766581271724	4.52792328833743
Apop	0.00037636664316262157	0.000415173222703378
Apop_C3	0.00043601366163095815	0.000479520934061378
Smac	2.5826692626512452e-05	2.84242730240928e-05
Apop_XIAP	0.012714909806262931	0.0139832143952291
Smac_XIAP	0.0030537894160869742	0.00335069649446664
C3_Ub	1.9602977156255035	2.02017249428724
BAD	0.09535895008176917	0.0946305761750636
PUMA	0.028952314202345564	0.0290542011213517
NOXA	0.005549136552249361	0.00554875769641313
Bcl2c_BAD	3.3688128080083874	3.33382112056368
Bcl2c_PUMA	1.022818800151328	1.02357518314459
Bcl2c_NOXA	0.19492670274975019	0.194373507926457
BIM	0.05938999945646763	0.0600493307962913
BIM_Bax	0.0	0.0
Bcl2c_BIM	2.0981123498634324	2.11552899048227
ppERK_BIM	0.0005923385375695737	0.000606348551522431
pBIM	0.10499100164762053	0.107474252014387
ppAKT_BAD	3.38853766158666e-05	3.34900311003958e-05
pBAD	0.9016332638328621	0.90534540869157
ppERK_BAD	0.0009511298585136879	0.000955580644090552
E	0.0	0.0
H	0.0	0.0
HGF	0.0	0.0
P	0.0	0.0
F	0.0	0.0
I	0.0	0.0
INS	0.0	0.0
E1	50.213108787956166	50.0345720621339
pE1	5.007573701611955	5.05170445361564
E2	3.806776392981793	3.79818859062444
pE2	0.37965587104037885	0.383501249040467
E3	1.7419822322261322	1.73996240814768
E4	0.0	0.0
pE4	0.0	0.0
Ev3	0.0	0.0
Met	8.596182159460573	8.57334524882412
Pr	0.23031467448521784	0.229679283901779
Fr	0.1872212287211579	0.186715656186254
Ir	0.021844696008656066	0.0218149504881147
Isr	0.029838490581603826	0.0297964318748041
E1E1	2.521318099283137	2.50342047769654
E1E2	0.19114718150752935	0.190037861903061
E1E3	0.08746901828541735	0.0870569556899556
E1E4	0.0	0.0
E2E2	0.014491395848105507	0.0144260865909293
E2E3	0.0066312550718751915	0.0066086238790519
E2E4	0.0	0.0
E3E4	0.0	0.0
E4E4	0.0	0.0
Met_Met	0.07389386395153594	0.0735017675554242
FrFr	3.505155900890947e-05	3.48625080277939e-05
IrIr	0.7288934789966218	0.726909805981339
Isr_Isr	0.3098171619919166	0.308944425401274
EE1	0.0	0.0
HE3	0.0	0.0
HE4	0.0	0.0
HGF_Met	0.0	0.0
PPr	0.0	0.0
FFr	0.0	0.0
EE1E2	0.0	0.0
EE1Ev3	0.0	0.0
EE1E1	0.0	0.0
EE1E3	0.0	0.0
EE1E4	0.0	0.0
E2HE3	0.0	0.0
E1HE3	0.0	0.0
HE3E3	0.0	0.0
HE3Ev3	0.0	0.0
HE3E4	0.0	0.0
E2HE4	0.0	0.0
HE4Ev3	0.0	0.0
E1HE4	0.0	0.0
E3HE4	0.0	0.0
HE4E4	0.0	0.0
HGF_Met_Met	0.0	0.0
PPrPr	0.0	0.0
FFrFr	0.0	0.0
IIrIr	0.0	0.0
INS_Isr_Isr	0.0	0.0
EE1EE1	0.0	0.0
EE1HE3	0.0	0.0
EE1HE4	0.0	0.0
HE3HE3	0.0	0.0
HE3HE4	0.0	0.0
HE4HE4	0.0	0.0
HGF_Met_HGF_Met	0.0	0.0
PPrPPr	0.0	0.0
FFrFFr	0.0	0.0
IIrIrI	0.0	0.0
INS_Isr_Isr_INS	0.0	0.0
E1_ppERK	0.5008332287434608	0.50524697247711
E2_ppERK	0.037969534150742563	0.0383541119272274
E4_ppERK	0.0	0.0
pEE1E2	0.0	0.0
pEE1Ev3	0.0	0.0
pEE1E1	0.0	0.0
pEE1EE1	0.0	0.0
pEE1E3	0.0	0.0
pEE1HE3	0.0	0.0
pEE1E4	0.0	0.0
